SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,HouseAge
1234,4,1,Urban,1991,152885.23907580134,35
1348,2,2,Suburb,2017,176281.67584262832,9
2779,5,1,Suburb,1952,282033.12039455946,74
2893,3,3,Rural,2016,193941.4005906877,10
2504,5,1,Rural,2018,289732.2732957234,8
2862,5,2,Suburb,1952,335524.3608848182,74
1395,3,3,Rural,1977,180378.01055319887,49
2374,3,1,Suburb,1978,239817.99466896872,48
1415,5,2,Suburb,1980,180229.26936891492,46
2909,3,1,Urban,1980,313571.7799151813,46
1915,4,2,Rural,1995,220453.22627985693,31
2910,3,3,Urban,2021,352009.9928031114,5
2074,3,2,Rural,1952,151670.67792934546,74
1080,4,1,Suburb,2012,117770.5732122222,14
1035,4,3,Suburb,2001,157430.80912670807,25
2090,4,3,Urban,1996,201649.0988591107,30
1640,3,2,Rural,1972,177385.5826491439,54
1881,4,3,Rural,1988,149363.67031141045,38
2690,4,1,Urban,1961,209521.00850423903,65
1756,2,3,Suburb,1990,99676.32266221302,36
1622,2,2,Urban,1993,186106.14007413897,33
2703,3,2,Urban,1967,261923.82463666372,59
2504,4,3,Suburb,2012,287885.0657667194,14
1467,3,1,Urban,2014,235213.91934239017,12
2165,2,3,Rural,2011,220044.0850345005,15
1355,2,3,Rural,1985,174812.90100782266,41
1708,4,2,Urban,1978,132064.36681485377,48
2494,3,3,Suburb,2001,216914.2566216522,25
2644,2,1,Rural,1979,158712.7857496948,47
2019,5,1,Rural,2008,156818.37663705624,18
2911,4,1,Urban,1991,273641.7449242609,35
2614,3,1,Suburb,1973,259192.6757918496,53
1901,5,1,Rural,1972,184790.9768694531,54
1672,4,3,Suburb,1988,180077.44852972488,38
1438,4,1,Rural,1950,183950.37346778903,76
1530,2,1,Suburb,1998,126415.93436953792,28
1126,3,3,Rural,2001,126502.92819957423,25
1204,2,3,Urban,1981,150190.25408808078,45
1028,5,1,Suburb,2018,97678.58463332464,8
1444,5,1,Suburb,1964,151725.30328282574,62
1965,5,2,Rural,1959,247266.8934150453,67
2742,5,1,Suburb,1982,385924.2782631506,44
1463,5,1,Suburb,1989,204428.66380962057,37
2303,3,2,Rural,1972,190238.4806165494,54
1150,3,3,Urban,2011,101998.4095208166,15
1239,4,3,Urban,1961,98084.56482871812,65
1265,4,3,Urban,1979,178439.0864940861,47
2717,3,1,Rural,1960,329769.584249863,66
2128,4,2,Urban,1991,152499.7544657649,35
2960,2,2,Suburb,1998,308418.8670002066,28
2456,3,1,Suburb,1969,235349.86766076207,57
1912,2,1,Urban,2017,177388.83532826602,9
1496,5,1,Suburb,2012,163693.17815361472,14
2463,5,1,Suburb,1964,258718.70645045885,62
2771,4,3,Urban,1966,269490.62394727627,60
1684,3,2,Rural,1969,207368.39798663912,57
1157,5,2,Urban,1956,109352.09218300648,70
1171,4,2,Rural,1988,125619.74546938777,38
1493,2,3,Suburb,1986,145033.03001236322,40
1969,3,3,Urban,2016,286101.4622372755,10
2334,4,2,Suburb,1996,240040.7244543369,30
2426,5,3,Suburb,2002,375441.4538351756,24
2692,2,3,Rural,1952,316980.267567291,74
2793,2,2,Suburb,1958,216293.3844285833,68
1675,4,1,Rural,1975,136489.74324788284,51
1658,3,2,Urban,1996,150125.6605238371,30
1902,4,1,Suburb,1963,285462.9510373934,63
1665,5,3,Rural,1999,256567.41949219783,27
2486,3,1,Urban,2020,359999.04844202346,6
1366,5,1,Suburb,2017,165494.97646816872,9
1549,2,1,Urban,1986,150777.33684550936,40
1642,2,1,Suburb,1978,128781.19163988972,48
2893,5,3,Suburb,1982,370805.97703717946,44
1254,5,2,Urban,1970,102913.04764849631,56
1207,2,2,Suburb,1999,151800.14809861814,27
1449,4,1,Urban,2018,150483.69949055443,8
1094,4,2,Suburb,1995,177631.39602726907,31
2883,4,2,Suburb,1989,304711.54724993475,37
1838,5,2,Suburb,1988,250029.33320694027,38
1477,5,2,Rural,2010,175242.0114189641,16
1682,2,3,Suburb,2017,178214.61942645937,9
1761,3,2,Suburb,1973,226237.23784689093,53
1189,4,1,Rural,1999,207610.93180760733,27
1710,4,2,Rural,1996,228789.4744692921,30
2507,4,3,Suburb,1996,333125.86564162746,30
2756,2,2,Suburb,1969,221758.7510975952,57
2559,3,1,Suburb,1999,309136.5026789402,27
1755,3,3,Urban,1966,231356.2562144948,60
2446,3,2,Urban,1962,276015.5999172391,64
1835,4,1,Urban,1950,175651.00519385634,76
2663,5,1,Suburb,1957,317397.6878973522,69
2628,4,1,Suburb,1967,352636.9951534689,59
2835,3,2,Urban,1950,299332.0789050815,76
1132,2,3,Rural,1969,117475.48897774926,57
1054,3,2,Rural,1988,96197.283014355,38
1509,4,3,Suburb,1954,303433.8124198001,72
1669,5,3,Suburb,1975,206921.9547008485,51
2564,3,1,Suburb,2010,226691.6957818439,16
1409,5,1,Urban,2003,149052.7428112909,23
2234,3,1,Urban,2010,207165.31142752088,16
2689,5,2,Urban,1955,279747.4393793772,71
2316,5,3,Suburb,2006,300227.6103748864,20
1986,3,1,Rural,2021,320415.6068724282,5
1733,2,2,Urban,1997,188321.81153737567,29
2138,4,3,Rural,1956,181225.30831681733,70
2972,4,3,Rural,1975,244163.35325818224,51
2693,3,2,Rural,1990,316430.9949729974,36
1258,5,3,Rural,1993,178281.1467552624,33
2786,4,2,Rural,1967,287520.68158871314,59
2145,5,1,Urban,1973,207252.03377093252,53
1298,2,3,Rural,1950,63344.80593971955,76
2798,3,2,Suburb,1954,300211.0732727367,72
2404,2,1,Urban,1982,260782.734138686,44
1560,5,1,Rural,2005,107668.640082692,21
2912,5,1,Rural,1998,264622.6791167235,28
2864,3,3,Urban,1982,344062.6166202131,44
2524,5,1,Rural,1972,218460.9455154541,54
1296,3,1,Suburb,1955,107627.29088907558,71
1361,3,1,Rural,2016,186117.2479012673,10
1588,2,2,Urban,2007,259524.7048665248,19
2486,4,3,Urban,1968,304576.00864094845,58
2461,4,1,Urban,1979,303131.0025167634,47
1126,5,3,Suburb,1989,152519.13964698577,37
1196,4,1,Rural,1995,92027.16522900492,31
1220,5,2,Urban,1991,163916.27580677514,35
1994,4,1,Suburb,1966,232619.60352008004,60
1090,2,3,Suburb,1987,201831.0743587691,39
1410,4,1,Urban,1974,142528.1144996099,52
1007,5,3,Urban,1995,155686.88190962613,31
1543,5,3,Suburb,1993,226783.56791951976,33
1467,4,2,Urban,2014,160999.56929849312,12
1319,3,1,Urban,1965,104338.21375486856,61
2417,2,3,Suburb,1952,272833.68885728886,74
1268,3,2,Rural,2017,150198.25084703197,9
2214,4,3,Urban,1981,225110.0520720756,45
2884,3,2,Suburb,1952,282731.5569908197,74
2698,4,1,Urban,1994,390468.0057756353,32
1060,5,1,Urban,1999,94470.879550747,27
2461,3,1,Rural,1967,263330.890171725,59
2287,2,1,Urban,1987,307190.28867335944,39
1796,3,1,Urban,2012,141177.98701921722,14
2118,5,1,Urban,2018,171326.21336739382,8
1552,5,3,Suburb,2018,165783.25858428504,8
1925,5,3,Urban,2005,171281.63938400478,21
2493,3,2,Urban,1958,270388.2200449141,68
1660,5,1,Suburb,1971,276560.0060889004,55
1715,5,1,Urban,2011,114754.67353849036,15
1778,3,3,Urban,1969,217089.91641335384,57
2537,3,2,Urban,2013,265872.807450953,13
2713,4,2,Rural,1954,270724.0909512191,72
2960,3,2,Suburb,1952,309065.4334641841,74
1193,5,1,Suburb,1969,155477.34383052943,57
1481,2,1,Suburb,1954,149119.81981222032,72
2922,5,2,Rural,2000,362401.1747411153,26
2359,5,1,Suburb,2014,228131.69754305112,12
2458,5,1,Suburb,2008,304706.98735767003,18
2219,3,1,Suburb,1992,211362.10205089668,34
1854,2,1,Urban,2020,185066.4393917579,6
2272,5,2,Rural,2021,349471.6571759171,5
1497,3,2,Urban,1970,159789.73121367954,56
1211,4,3,Suburb,1984,127235.10737867204,42
1664,2,1,Urban,1991,183680.62770979007,35
1669,2,1,Suburb,1999,243966.12572139825,27
2489,3,1,Urban,2003,371319.76705154026,23
2897,4,3,Urban,1969,342032.15230158635,57
2674,5,3,Rural,1988,354573.49707612133,38
1220,4,3,Suburb,1995,227263.93588523412,31
1272,2,3,Rural,1968,117863.01065860188,58
2177,3,1,Suburb,1952,280299.05117374304,74
2272,4,1,Suburb,1997,306743.1755051954,29
1278,5,1,Suburb,2005,170371.51738100566,21
2463,4,3,Urban,1952,293459.6919226026,74
2971,4,2,Rural,2007,363692.770881952,19
1815,3,2,Suburb,1986,215998.41008836287,40
1275,3,1,Suburb,2016,94496.36212475772,10
2004,2,2,Urban,2002,187572.6614699519,24
1513,3,3,Suburb,1987,168964.57449058397,39
2111,4,3,Suburb,1966,307150.8126603057,60
2822,5,1,Urban,2010,317894.9046998992,16
1922,2,2,Urban,1967,129374.86080808516,59
1641,3,1,Urban,1974,185696.3193189828,52
1504,4,3,Rural,1982,96438.41158939483,44
1589,4,2,Rural,1980,155893.80640923305,46
1771,2,3,Rural,1957,118654.72818013027,69
2264,2,2,Suburb,2003,244811.7022218876,23
2676,3,1,Rural,1997,335279.1139601192,29
1739,3,3,Suburb,1969,157505.17345543185,57
1674,5,1,Rural,1993,162134.49769434382,33
2259,2,3,Suburb,1992,296720.69882926147,34
2013,2,2,Suburb,2008,209293.3691796692,18
1127,4,2,Urban,1975,111814.0207973882,51
1502,5,3,Rural,1978,215275.1275163389,48
2223,3,3,Urban,1973,261793.45612561447,53
2985,5,3,Suburb,2009,295674.1605153066,17
1901,5,2,Suburb,1960,247850.38845727965,66
1542,4,1,Rural,2020,77139.23957674742,6
2525,2,1,Suburb,1955,263284.19287245686,71
2673,2,3,Rural,1998,264376.1713517214,28
1491,2,1,Rural,1973,122523.6626420094,53
2044,3,1,Rural,2004,155885.65060846915,22
2257,2,1,Urban,1959,256181.9481453068,67
1713,5,1,Rural,1978,259916.44007936167,48
1790,5,2,Rural,2018,189952.8298106987,8
2666,2,2,Rural,2000,230662.39154463905,26
1415,5,2,Rural,1960,147369.55315433306,66
1147,3,3,Rural,2017,198566.7544279594,9
1969,2,3,Urban,1965,178077.3394698018,61
1028,3,2,Rural,1988,165175.43052283418,38
2384,2,1,Suburb,2009,176295.94884325698,17
1307,3,2,Suburb,1982,128962.81452755096,44
2906,3,1,Rural,2001,330107.6180229343,25
2965,3,1,Rural,1963,300629.7293940778,63
1161,5,2,Rural,1964,206183.681177811,62
1868,3,3,Rural,2006,240836.9464382868,20
1851,4,1,Rural,1992,224641.75754286573,34
1060,3,1,Suburb,1971,114484.38418113516,55
1124,3,2,Rural,2000,163445.5059570871,26
2479,3,1,Rural,1951,267274.0933479946,75
2094,3,1,Rural,1958,241065.01101543385,68
1837,2,2,Suburb,1977,177028.60929544043,49
2930,5,1,Suburb,1995,392447.8521556241,31
2899,5,3,Rural,1992,383841.4776136074,34
1465,5,3,Suburb,1989,121425.08166563053,37
1242,2,3,Rural,1983,76894.69221714199,43
2513,3,2,Suburb,2014,242420.45378227872,12
2784,3,2,Rural,1992,333022.4703178206,34
2244,5,3,Urban,1976,156384.6768349571,50
1472,4,2,Suburb,2002,173724.21741999345,24
1958,3,2,Urban,1966,190143.6419839745,60
1532,3,2,Suburb,2016,93030.89202397924,10
1493,3,3,Urban,2013,159333.68859496352,13
1898,2,2,Suburb,2009,211937.80720560465,17
1081,3,2,Suburb,1965,100669.6135464251,61
1855,5,3,Rural,1993,281045.9249318123,33
1878,3,3,Suburb,2013,208582.36249753143,13
2545,5,2,Suburb,1979,287144.95541075285,47
1922,4,2,Urban,2005,261835.5205002573,21
1011,2,1,Urban,1981,71492.27561748012,45
2286,4,3,Urban,2018,230448.4783284416,8
2680,3,1,Urban,1961,283320.1728199092,65
1448,4,1,Rural,1973,134973.5744002839,53
2215,3,1,Urban,1982,167065.79789801754,44
1761,5,1,Rural,2015,202669.73341126463,11
2137,3,3,Rural,1985,244517.6951282538,41
1025,2,3,Urban,2002,111335.65211186431,24
2806,4,3,Urban,1955,362599.2892454058,71
2522,3,1,Urban,1990,278636.15770475543,36
1507,5,3,Suburb,1983,222480.3585587956,43
2568,4,3,Urban,1975,301032.2521137366,51
1061,2,3,Urban,2015,169806.22739245807,11
1228,3,2,Rural,1963,235583.18223306403,63
2838,2,1,Urban,1986,307101.3163727548,40
1606,5,3,Suburb,1964,238666.0598826763,62
2058,4,3,Urban,2007,254839.88259488525,19
2728,4,1,Urban,1968,348203.643929735,58
2479,4,1,Rural,1968,302734.7762683316,58
2611,5,3,Suburb,1953,262852.5087170415,73
1890,3,2,Suburb,1992,218287.4873126564,34
2525,3,3,Urban,1956,258322.5441947376,70
1760,3,2,Suburb,1962,210679.2286779008,64
1594,2,1,Urban,1988,221361.1558024033,38
2048,5,1,Rural,1979,229156.66142292364,47
2592,4,2,Suburb,1982,298917.9978301582,44
2055,5,1,Urban,2011,336374.3921349383,15
2854,5,2,Rural,2004,323182.61324765417,22
2035,5,3,Rural,2015,216872.13155576505,11
2342,4,3,Urban,1968,198197.9462246532,58
2868,4,1,Rural,1991,362706.5942752248,35
2627,2,1,Rural,2011,287904.86812089215,15
1000,5,1,Urban,1976,193218.5708924558,50
2458,3,2,Suburb,1956,283453.8602991209,70
2861,2,1,Suburb,1989,368132.6965241324,37
2159,4,3,Rural,2014,269211.2466677269,12
2219,4,3,Urban,2017,224567.05722584244,9
1132,2,3,Suburb,1965,144617.98934760515,61
1085,3,2,Suburb,1976,152500.45541282138,50
2499,5,3,Rural,2020,337585.0031254256,6
2830,5,3,Rural,1998,320248.0519584278,28
2814,3,1,Suburb,1967,220946.834131293,59
2347,5,3,Urban,2014,251483.01710696364,12
2203,4,1,Urban,2006,266465.60285659874,20
1515,2,3,Rural,2014,186299.9929239193,12
2661,3,3,Suburb,1993,295017.11482313235,33
1174,2,1,Suburb,1960,144116.64003287046,66
1762,5,1,Rural,2019,206111.9865511481,7
2044,5,3,Rural,1972,223667.72262474656,54
1996,4,2,Suburb,2008,274818.5964218926,18
2975,4,2,Urban,2005,343035.2812755317,21
2128,5,1,Rural,1956,216755.92916904105,70
1577,5,1,Urban,1992,222581.4259540153,34
2466,4,3,Urban,2011,306749.43419206905,15
2798,4,2,Suburb,1985,320512.75496065826,41
1048,3,2,Urban,2008,45817.597591981495,18
1527,4,3,Urban,1997,162513.7957973921,29
1144,3,2,Suburb,2002,109574.0601567257,24
2363,3,3,Rural,1998,185801.51090913912,28
1761,2,3,Urban,1993,110305.03777502471,33
2878,4,1,Rural,1950,292079.0610780159,76
2377,3,3,Suburb,2001,281626.5035363384,25
2098,2,2,Suburb,1971,222754.20573778643,55
2825,2,2,Suburb,2012,342653.5288316291,14
1928,4,3,Suburb,1994,292813.1730387523,32
1793,4,1,Suburb,1982,142015.84126092796,44
2601,2,2,Rural,1990,333890.3690865502,36
2660,3,1,Rural,2015,267280.201438751,11
1318,4,3,Suburb,1964,136602.6845254953,62
2110,2,3,Urban,1957,266651.2101199063,69
2576,2,2,Suburb,1990,337815.98714691773,36
1697,3,2,Suburb,1962,124917.02284273748,64
2889,5,1,Urban,1977,342260.5004425115,49
2915,3,3,Urban,1952,344572.20958499995,74
1846,2,1,Suburb,1993,214461.9890027372,33
2801,3,2,Suburb,1976,300544.8504215701,50
1782,4,2,Urban,1964,226750.2884632025,62
1041,2,1,Urban,2001,79161.75393547886,25
2116,3,3,Suburb,2005,224846.52806828325,21
2720,3,2,Suburb,1956,291740.522676887,70
2750,3,3,Urban,1979,328982.23082409106,47
2530,3,2,Suburb,1983,271991.833228762,43
1528,2,3,Rural,2016,150429.98871044966,10
2979,3,2,Suburb,1992,329875.2695064172,34
2288,4,3,Urban,1995,363715.7235760307,31
2649,5,3,Rural,1953,288751.04998643725,73
1291,5,2,Suburb,1995,78787.24443963927,31
1968,5,3,Urban,1978,209859.8631088604,48
2487,4,3,Rural,1967,243787.90774664283,59
2827,5,2,Urban,1994,332199.119208502,32
2583,2,1,Suburb,2008,224706.18306400187,18
2842,2,2,Rural,1988,325574.6522354862,38
1096,4,1,Suburb,1966,86958.91596363697,60
2910,4,2,Rural,1988,315015.45370984427,38
2118,2,1,Suburb,2002,249741.42872869465,24
2349,4,1,Rural,1952,291704.48610817466,74
1073,4,2,Urban,1975,89194.74013459805,51
2359,2,3,Suburb,1985,225695.26992277324,41
2091,2,2,Suburb,1961,190090.34410651945,65
1757,3,1,Urban,1977,230410.73925384053,49
2941,3,1,Suburb,1952,257287.8414659612,74
2100,5,1,Rural,1975,206978.2675581184,51
1207,4,2,Urban,1976,135725.18066024422,50
2907,2,1,Rural,2012,212466.2830268875,14
2789,5,3,Urban,1965,343283.6168032949,61
2244,3,3,Rural,2006,282930.7074218016,20
2285,4,3,Suburb,1995,257211.07370478823,31
1409,5,2,Rural,1968,109802.60422211466,58
1330,4,3,Suburb,1953,176739.57981691757,73
1343,5,2,Urban,1988,283439.90241629165,38
1988,4,1,Rural,1998,241144.8453017324,28
1770,4,2,Rural,2008,131264.1068006946,18
2843,2,3,Suburb,1982,306175.02249084186,44
1073,4,2,Urban,2014,155070.95465209277,12
2660,3,2,Suburb,2010,312818.20156252966,16
2723,2,2,Urban,2015,198325.46877302267,11
1253,4,2,Suburb,1996,176282.6720812518,30
1958,3,1,Suburb,2006,234415.1151944589,20
2856,3,2,Suburb,1981,376712.7689708932,45
1819,5,2,Rural,2007,168027.9729992884,19
2770,2,2,Rural,1995,279659.6949688934,31
1985,2,1,Suburb,2005,238809.69219091863,21
2785,5,1,Urban,1998,241473.3960064285,28
1331,5,1,Rural,2000,158551.52749304785,26
2421,5,2,Suburb,1984,242350.6840382981,42
2368,2,2,Urban,1991,222770.75606478265,35
2607,3,1,Urban,1988,180789.08671926684,38
1746,3,2,Urban,1958,174574.9427189857,68
1835,4,2,Suburb,1996,276796.9706485716,30
2691,2,1,Rural,1980,354722.06180409185,46
1454,2,1,Urban,1965,194743.6424018549,61
2929,5,3,Suburb,2007,380295.28013373166,19
2138,2,1,Suburb,1967,258340.2126306189,59
1312,2,1,Suburb,1959,106077.21976125364,67
2017,3,1,Suburb,1958,231782.6731719976,68
1227,2,1,Suburb,1998,131205.33135792895,28
1833,3,2,Rural,1970,104999.81411324504,56
1857,3,1,Rural,1968,170001.48083302897,58
2268,2,2,Suburb,1956,293928.4470256958,70
1817,3,2,Rural,1953,215261.6544937655,73
2549,5,1,Suburb,1995,299857.70163210056,31
2017,3,1,Urban,1966,188948.87444749835,60
1527,2,3,Rural,1978,224807.67274387725,48
1949,5,2,Rural,1977,262572.5119349519,49
1426,5,1,Suburb,1977,91650.14621890214,49
1041,2,2,Suburb,1953,127270.64268210383,73
1464,4,3,Rural,1953,180893.3189637648,73
2645,3,1,Urban,1960,254114.43015289985,66
1277,3,3,Rural,2014,204317.84321169124,12
1835,4,2,Rural,1998,160925.30735899985,28
1018,5,3,Rural,1985,165478.14797613074,41
1065,4,3,Urban,2007,59289.73797918722,19
1166,2,2,Urban,1963,73984.9055610289,63
2608,4,2,Suburb,2012,262085.6622602283,14
2019,5,2,Rural,1952,293831.3337322401,74
1402,2,2,Suburb,1980,95489.2466341568,46
2935,2,2,Urban,1999,311747.58436766925,27
2845,2,2,Rural,2004,285447.98145852407,22
1408,3,3,Rural,2012,181802.3189483915,14
1111,3,2,Rural,2008,71124.16780267324,18
2297,2,2,Rural,1976,250398.8628242189,50
2430,4,2,Suburb,1974,336770.60170233133,52
2396,3,2,Rural,1955,344080.7916366328,71
1596,5,1,Urban,1959,110087.26806704148,67
1650,3,3,Suburb,1975,228062.5457487472,51
2062,4,3,Rural,1955,262698.53851508634,71
1104,3,1,Suburb,1970,145852.3355408758,56
1323,4,3,Suburb,1971,169048.5959089782,55
2816,4,3,Rural,1996,417157.2552593961,30
2982,3,2,Urban,1989,287924.3902258745,37
1991,4,3,Rural,1996,121460.59573525617,30
2437,4,1,Rural,1987,296771.9417512726,39
1428,5,3,Urban,1977,131307.90408832277,49
1634,2,1,Rural,2001,80039.28553436184,25
1729,2,1,Urban,1961,192313.78365090853,65
1888,3,3,Suburb,1973,195039.6223064605,53
2084,4,2,Urban,1973,192699.44710881505,53
2635,3,1,Suburb,2018,236864.98339667727,8
2330,3,3,Urban,1958,281523.15269671544,68
2377,2,3,Suburb,1984,312362.33796041104,42
1392,4,2,Urban,1968,62371.58659653427,58
1203,3,2,Suburb,2006,184878.2850313837,20
1257,3,3,Rural,1950,216471.6973166297,76
1485,2,2,Urban,1998,159175.99763057212,28
2540,2,1,Urban,2007,194880.8485672841,19
1445,2,3,Suburb,1989,118294.22314781132,37
2732,3,2,Urban,2011,220885.70920070287,15
2203,4,3,Urban,1970,195598.08285647217,56
2023,2,2,Urban,1956,224722.83598782244,70
1341,2,1,Urban,1950,134402.26568363773,76
1132,4,3,Urban,1970,173390.42024578416,56
1442,3,2,Suburb,1956,163250.32771307774,70
2859,3,1,Urban,1965,278557.12977717305,61
1252,4,1,Rural,2003,139948.7573548098,23
1264,2,2,Rural,2012,83112.62944651268,14
1092,5,3,Rural,2001,131128.4807833858,25
2685,4,2,Suburb,1963,311212.4860712825,63
2434,5,2,Urban,1951,264308.9754343915,75
1137,3,1,Urban,1969,178426.64533694333,57
2231,3,2,Urban,2017,247638.90499670125,9
2001,5,2,Urban,1991,304239.7785029536,35
2660,2,3,Suburb,1977,241664.8314993669,49
2769,5,2,Rural,1970,290189.27169536793,56
2596,2,3,Suburb,1961,191394.3366147721,65
1306,4,2,Urban,2004,204428.9088401084,22
1265,3,1,Urban,1952,103306.14376872276,74
1645,3,2,Urban,1968,262963.9254131395,58
1317,5,3,Rural,1950,72682.3087612344,76
2136,4,3,Urban,1950,210227.70078229936,76
1900,5,2,Urban,1953,295899.0852028161,73
2401,5,2,Suburb,1953,315389.15932263515,73
1453,5,2,Urban,1953,49068.960861155385,73
1190,2,3,Rural,1965,157586.9138354137,61
2914,3,3,Suburb,1990,270531.832285468,36
2463,3,1,Urban,1983,306125.3815748861,43
2210,5,2,Rural,1950,229470.34795837363,76
1830,2,3,Suburb,2013,238350.04372773203,13
2390,3,3,Urban,1969,197641.7324948892,57
2112,2,3,Urban,1972,221820.5512182014,54
1186,4,3,Suburb,2021,163717.88038613234,5
1818,2,1,Rural,1963,148506.3195442265,63
2969,2,3,Suburb,1988,300042.1002450149,38
2020,4,3,Suburb,1996,308666.5345432946,30
1131,3,2,Rural,1989,154977.59228030554,37
1871,3,1,Rural,1995,113221.688510287,31
1634,2,1,Urban,1985,166724.65779235127,41
2583,2,1,Suburb,1990,314824.1052121391,36
2823,4,2,Urban,2008,285641.21214799804,18
2399,4,1,Rural,1965,290876.8517140097,61
1690,3,3,Suburb,1984,243142.9472181882,42
1691,3,1,Suburb,1978,116942.41000703788,48
2122,4,3,Suburb,2009,263246.12347738986,17
2865,2,1,Rural,1980,313256.1350522234,46
2057,4,1,Rural,1966,283573.13915762334,60
2955,3,3,Suburb,1975,303487.5514151622,51
1581,2,2,Suburb,1966,193543.37562445577,60
1170,5,2,Rural,2009,221524.6767978607,17
2389,5,2,Rural,2016,321590.7391300258,10
1783,4,3,Rural,1967,183921.10595535027,59
2082,3,3,Suburb,2002,232809.83059841816,24
1180,2,1,Urban,2009,222548.0769979652,17
1018,5,1,Urban,1995,17429.04852786992,31
2249,2,3,Suburb,2003,164411.08771659355,23
2496,2,1,Urban,2012,320881.99534922256,14
2118,2,1,Suburb,1975,238530.301719048,51
1880,2,2,Urban,1984,260768.9012768291,42
2320,4,3,Suburb,2005,267864.6066785443,21
2616,2,2,Rural,1984,309713.79573361663,42
1174,5,1,Urban,1954,203542.7586760856,72
2245,5,1,Urban,2000,275296.74648229487,26
2638,4,2,Rural,1981,286619.85405876784,45
1053,5,3,Urban,1987,209559.9969925821,39
1694,2,1,Suburb,1974,201890.8764330975,52
1862,5,3,Suburb,1974,230633.3553019355,52
2426,3,2,Rural,2021,360293.6943438309,5
2341,2,1,Urban,1989,193859.4612529523,37
2890,4,2,Suburb,2019,240102.6953499709,7
1348,3,3,Rural,2020,258121.5603606622,6
1442,5,1,Urban,1979,85587.79789917213,47
1832,3,3,Suburb,2000,301556.31076506025,26
1579,5,3,Urban,1973,199269.2734058604,53
2563,5,1,Urban,1957,220293.53412148327,69
2809,5,2,Suburb,1957,333017.27592562826,69
1281,4,1,Urban,2009,102904.57867575272,17
1359,3,3,Suburb,1980,129237.60348504044,46
1914,4,3,Suburb,1994,243726.94773990987,32
1822,5,3,Suburb,2012,173305.32703709308,14
2654,2,1,Rural,2017,234480.1287348615,9
1891,2,3,Rural,1951,250048.8575347107,75
1952,4,1,Urban,1971,188059.2025655302,55
2669,2,1,Suburb,1984,230317.57199036024,42
1640,3,3,Suburb,1988,88452.10571839403,38
2031,2,3,Suburb,2006,175849.4593489936,20
1562,2,3,Rural,2018,131376.15774677414,8
1490,5,2,Suburb,2014,129981.15151431404,12
1340,3,2,Urban,1980,232614.93478882936,46
1471,3,2,Urban,1996,239247.2273714292,30
2816,2,3,Suburb,1966,308310.45434448734,60
2710,5,3,Urban,2016,278688.3544222698,10
2718,2,2,Urban,2018,254615.6323732777,8
2727,2,1,Urban,2008,291995.4834354065,18
1248,4,2,Suburb,1978,152978.67709725958,48
1234,5,2,Suburb,1992,99661.94373151496,34
2106,4,1,Suburb,1958,284386.2924540604,68
2116,2,2,Suburb,1959,196647.4877845668,67
2908,2,2,Urban,2007,316121.6998884741,19
2417,5,2,Suburb,1969,226848.4143327139,57
1823,3,1,Rural,2003,133220.83991370868,23
2291,2,1,Rural,1968,144592.96226958846,58
2440,2,2,Rural,1985,269720.7889242128,41
1631,4,3,Suburb,2002,186247.49367069584,24
2606,4,2,Rural,2007,235810.5036705068,19
1528,5,1,Suburb,1986,177639.77718131428,40
2276,4,1,Urban,1979,242139.03570258012,47
2980,3,1,Suburb,1978,353422.5115694965,48
1121,2,3,Suburb,2009,61933.63142784983,17
1891,4,3,Urban,1985,246076.08547821897,41
1009,3,3,Urban,2003,84151.19053149852,23
2822,2,2,Suburb,1982,296193.91643703915,44
2339,2,1,Suburb,2017,115376.94939572176,9
1837,3,2,Rural,1999,155794.09838505124,27
2296,2,2,Rural,1974,227271.10027811347,52
2329,3,3,Urban,1988,252319.6735708132,38
2828,3,2,Suburb,1958,296442.04562555085,68
2233,4,3,Rural,1951,183456.2758113277,75
2981,5,3,Urban,1989,378732.0147530611,37
2753,3,1,Suburb,1974,229167.9108658323,52
1752,4,1,Rural,1987,224889.69027485923,39
1885,2,2,Suburb,1974,159581.38777230418,52
1463,4,2,Urban,1998,215679.34420555804,28
1711,3,1,Urban,2012,202308.7970507508,14
1727,4,2,Urban,2006,248363.56703476305,20
1716,5,1,Rural,2015,219058.18408520665,11
2948,2,1,Rural,1952,299957.3442864024,74
2439,4,3,Suburb,1976,278477.6396087678,50
2239,2,1,Urban,1979,208593.2157861649,47
1079,3,1,Urban,1967,160661.65759000785,59
2802,5,3,Urban,2007,353828.2373480068,19
1479,5,3,Suburb,1976,124274.92788980188,50
1901,4,3,Rural,2010,163711.56794201475,16
1890,2,3,Suburb,2012,267859.1625255737,14
2570,2,1,Urban,2007,344530.5623512271,19
2824,4,1,Urban,1966,245942.56135696752,60
1017,4,1,Rural,1953,79656.68131534196,73
2188,4,1,Rural,1970,187437.64912155445,56
2548,4,1,Suburb,2007,227581.9280804111,19
1201,5,1,Suburb,1960,197308.1561642548,66
1740,4,3,Rural,1967,266645.1291212855,59
2369,2,1,Urban,1966,267564.2044049839,60
2389,3,3,Urban,1963,342989.9499478099,63
2471,2,3,Rural,2011,307784.4146024753,15
2536,4,1,Rural,1963,255777.836994959,63
1318,5,3,Urban,1983,317693.7989541547,43
1216,4,1,Urban,2009,144190.32082253892,17
2057,3,2,Urban,2015,227786.6175453,11
2894,4,3,Rural,1965,401424.4731600123,61
